AngMes,VelMes,i_a,i_b,u_a,u_b
424,5497,-755,834,-1357,1057
426,5497,-780,813,-1401,999
426,5497,-808,772,-1416,985
428,5497,-840,738,-1447,937
429,5497,-858,713,-1486,875
430,5497,-896,669,-1505,832
431,5497,-910,640,-1527,802
432,5497,-929,610,-1560,741
433,5497,-951,589,-1585,670
434,5497,-970,549,-1609,615
435,5497,-987,522,-1619,578
436,5497,-1008,502,-1636,502
437,5497,-1030,474,-1650,432
439,5497,-1033,443,-1677,364
440,5497,-1031,411,-1705,295
441,5497,-1064,374,-1689,264
442,5497,-1069,348,-1704,188
443,5497,-1071,322,-1721,112
444,5497,-1139,270,-1666,60
445,5497,-1091,251,-1722,-23
446,5497,-1095,219,-1722,-61
447,5497,-1100,182,-1721,-128
448,5497,-1107,138,-1714,-188
450,5497,-1107,103,-1710,-257
450,5105,-1107,69,-1817,-287
452,5105,-1112,8,-1803,-334
453,5105,-1123,-14,-1778,-418
454,5105,-1122,-43,-1762,-496
455,5105,-1134,-98,-1730,-547
456,5497,-1136,-142,-1598,-559
457,5497,-1139,-167,-1568,-634
458,5497,-1116,-222,-1558,-678
459,5497,-1099,-261,-1540,-737
461,5497,-1079,-297,-1521,-798
461,5497,-1052,-332,-1518,-825
463,5497,-1018,-374,-1508,-877
464,5497,-1033,-423,-1445,-920
465,5497,-997,-448,-1430,-985
466,5497,-980,-491,-1392,-1030
467,5890,-963,-518,-1249,-1036
468,5890,-941,-548,-1232,-1058
469,5890,-915,-574,-1196,-1111
470,5890,-897,-594,-1149,-1167
472,5890,-862,-611,-1118,-1223
473,5497,-839,-641,-1158,-1331
474,5497,-806,-654,-1142,-1366
475,5497,-803,-699,-1069,-1392
476,5497,-772,-713,-1023,-1446
477,5497,-754,-749,-960,-1475
478,5497,-735,-780,-894,-1503
479,5497,-724,-805,-849,-1519
480,5497,-683,-823,-803,-1557
481,5497,-670,-857,-727,-1575
483,5497,-645,-868,-661,-1615
484,5497,-601,-895,-612,-1633
485,5497,-570,-903,-549,-1668
486,5497,-534,-928,-521,-1670
487,5497,-496,-951,-463,-1684
488,5497,-464,-947,-398,-1722
489,5497,-419,-967,-342,-1729
490,5497,-379,-972,-283,-1751
492,5497,-341,-1008,-221,-1737
492,5497,-303,-1023,-191,-1736
494,5497,-266,-1037,-126,-1738
495,5497,-237,-1045,-52,-1741
496,5497,-187,-1040,0,-1754
497,5497,-146,-1046,61,-1753
498,5497,-105,-1052,123,-1749
499,5497,-65,-1036,152,-1764
500,5497,-24,-1053,213,-1740
501,5497,5,-1056,285,-1728
503,5497,33,-1062,359,-1709
504,5497,63,-1060,432,-1695
505,5497,93,-1058,502,-1678
506,5497,139,-1052,523,-1666
507,5497,171,-1052,591,-1639
508,5497,198,-1043,663,-1618
509,5497,229,-1039,729,-1589
510,5497,269,-1028,785,-1563
512,5890,308,-1019,807,-1420
513,5890,344,-1012,859,-1384
514,5890,377,-985,885,-1380
515,5890,403,-953,945,-1362
516,5890,430,-939,1002,-1324
517,5497,467,-900,1095,-1406
518,5497,502,-866,1144,-1382
519,5497,527,-861,1202,-1325
520,5497,564,-853,1217,-1290
521,5497,596,-835,1263,-1242
523,5497,625,-818,1308,-1187
524,5497,653,-797,1353,-1137
525,5497,687,-777,1388,-1081
526,5497,723,-748,1420,-1032
527,5497,746,-730,1461,-971
528,5497,782,-684,1464,-961
529,5497,810,-658,1495,-903
530,5497,829,-622,1532,-854
532,5497,854,-597,1560,-792
533,5497,877,-566,1586,-733
534,5890,889,-541,1523,-603
535,5890,917,-490,1534,-565
536,5890,914,-453,1574,-511
537,5890,910,-449,1600,-453
538,5890,919,-412,1621,-398
540,5497,925,-369,1743,-389
541,5497,925,-357,1770,-303
542,5497,953,-355,1765,-204
543,5497,970,-299,1767,-161
544,5497,991,-261,1762,-97
545,5890,991,-234,1660,1
546,5890,1007,-197,1647,30
547,5890,1008,-150,1650,81
549,5890,994,-121,1664,150
550,5890,992,-81,1663,208
551,5497,978,-52,1779,271
552,5497,971,-23,1776,344
553,5497,976,19,1759,402
554,5497,989,59,1729,462
556,5497,997,104,1700,517
556,5497,984,135,1695,552
558,5497,990,176,1663,609
559,5497,983,219,1639,663
560,5497,972,240,1616,738
561,5497,958,276,1593,797
562,5890,950,322,1449,808
563,5890,943,359,1412,859
565,5890,910,384,1398,918
566,5890,876,414,1382,973
567,5890,856,456,1367,985
568,5497,839,479,1427,1093
569,5497,820,510,1387,1145
570,5497,809,531,1336,1204
571,5497,815,565,1265,1247
573,5497,796,591,1216,1297
574,5890,782,623,1068,1266
