AngMes,VelMes,i_a,i_b,u_a,u_b
46,2356,-537,77,-986,30
47,2356,-547,60,-979,10
47,2356,-547,66,-980,-15
47,2356,-561,50,-967,-17
48,2356,-577,31,-952,-17
49,2748,-578,20,-838,-47
49,2748,-580,37,-836,-82
49,2748,-563,19,-851,-81
50,2748,-563,6,-848,-103
51,2748,-543,1,-866,-115
51,2356,-541,-20,-979,-115
52,2356,-544,-20,-973,-152
52,2356,-546,-28,-970,-164
53,2356,-561,-43,-953,-167
53,2356,-569,-55,-939,-192
54,2748,-564,-60,-829,-192
54,2748,-567,-77,-823,-193
55,2748,-562,-83,-820,-220
55,2748,-546,-93,-832,-227
56,2748,-536,-100,-837,-237
56,2356,-529,-113,-950,-263
57,2356,-521,-117,-949,-296
57,2356,-528,-117,-937,-314
58,2356,-542,-135,-918,-313
58,2356,-548,-148,-902,-336
59,2748,-553,-155,-783,-316
59,2748,-551,-163,-778,-324
60,2748,-540,-183,-776,-336
60,2748,-530,-187,-779,-348
61,2748,-515,-189,-787,-362
62,2748,-501,-190,-785,-392
62,2748,-501,-198,-778,-399
62,2748,-493,-195,-778,-418
63,2748,-480,-208,-775,-436
64,2748,-474,-218,-773,-442
64,2356,-480,-219,-860,-504
64,2356,-465,-236,-867,-504
65,2356,-479,-256,-835,-517
66,2356,-483,-255,-822,-534
66,2356,-492,-269,-804,-537
67,2748,-491,-280,-688,-500
67,2748,-494,-293,-674,-501
67,2748,-483,-294,-674,-514
68,2748,-469,-288,-668,-548
69,2748,-447,-294,-679,-556
69,2356,-450,-308,-759,-619
70,2356,-448,-305,-737,-653
70,2356,-445,-316,-729,-656
71,2356,-442,-330,-720,-657
71,2356,-454,-354,-696,-647
72,2748,-452,-358,-587,-600
72,2748,-445,-359,-582,-611
73,2748,-435,-368,-578,-615
73,2748,-425,-361,-564,-645
74,2748,-411,-352,-565,-667
74,2356,-403,-364,-642,-745
75,2356,-390,-370,-627,-765
75,2356,-390,-384,-614,-763
76,2356,-389,-396,-601,-764
77,2356,-387,-409,-574,-776
77,2748,-389,-419,-484,-693
77,2748,-389,-426,-469,-696
78,2748,-376,-416,-468,-717
78,2748,-352,-424,-463,-729
79,2748,-342,-420,-459,-742
79,2356,-348,-424,-506,-838
80,2356,-326,-428,-496,-855
80,2356,-323,-433,-484,-861
81,2356,-321,-439,-471,-864
82,2356,-329,-455,-430,-868
82,2748,-315,-467,-368,-771
82,2748,-305,-483,-362,-762
83,2748,-301,-485,-335,-776
84,2748,-285,-479,-335,-790
84,2748,-268,-474,-336,-802
84,2356,-263,-476,-378,-905
85,2356,-256,-474,-351,-924
86,2356,-243,-474,-347,-931
86,2356,-242,-495,-331,-918
87,2356,-236,-503,-302,-925
87,2748,-235,-508,-241,-824
88,2748,-216,-512,-243,-825
88,2748,-212,-527,-215,-820
89,2748,-203,-507,-206,-845
89,2748,-187,-508,-206,-848
90,2748,-171,-506,-188,-858
90,2748,-164,-500,-178,-868
91,2748,-148,-498,-177,-874
91,2748,-134,-417,-174,-959
92,2748,-128,-497,-146,-886
92,2356,-126,-518,-158,-978
93,2356,-113,-512,-153,-988
93,2356,-111,-525,-119,-981
94,2356,-114,-526,-97,-984
94,2356,-103,-537,-90,-976
95,2748,-92,-555,-45,-852
95,2748,-90,-559,-30,-849
96,2748,-75,-550,-28,-858
96,2748,-63,-543,-23,-866
97,2748,-49,-535,-2,-875
97,2356,-50,-525,6,-998
98,2356,-16,-515,-8,-1009
99,2356,-23,-542,35,-983
99,2356,-24,-552,55,-973
99,2356,-11,-557,61,-968
100,2748,-10,-556,97,-855
100,2748,0,-560,104,-850
101,2748,19,-552,101,-856
101,2748,25,-543,112,-862
102,2748,18,-545,154,-857
102,2356,31,-539,167,-972
103,2356,45,-529,171,-980
104,2356,63,-538,191,-966
104,2356,66,-552,206,-949
104,2356,78,-551,213,-948
105,2748,69,-560,241,-820
106,2748,90,-559,237,-817
106,2748,103,-554,241,-817
106,2748,121,-541,238,-825
107,2748,106,-528,287,-828
108,2356,126,-523,310,-937
108,2356,133,-515,321,-941
109,2356,137,-518,353,-926
109,2356,151,-525,357,-914
110,2356,158,-535,368,-899
110,2748,174,-529,351,-784
111,2748,176,-544,365,-762
111,2748,182,-531,375,-768
111,2748,181,-522,392,-769
112,2748,199,-497,406,-779
113,2356,201,-497,462,-875
113,2356,212,-479,469,-886
114,2356,223,-494,491,-855
114,2356,234,-504,497,-836
115,2356,240,-499,508,-832
115,2748,251,-508,477,-706
116,2748,258,-508,484,-696
116,2748,269,-487,488,-707
117,2748,278,-476,493,-708
117,2748,280,-458,521,-707
