AngMes,VelMes,i_a,i_b,u_a,u_b
751,5497,1177,-111,1631,261
752,5105,1163,-54,1748,303
753,5105,1149,-29,1756,349
754,5105,1167,12,1725,415
756,5105,1158,29,1716,505
756,5105,1174,101,1687,503
757,5105,1233,190,1603,519
759,5105,1174,189,1635,623
759,5105,1157,217,1631,664
761,5105,1142,257,1612,726
762,5105,1133,298,1584,786
763,5105,1126,349,1564,801
764,5105,1112,374,1534,875
765,5105,1100,421,1498,924
766,5105,1091,470,1474,939
767,5105,1074,509,1437,993
768,5497,1058,555,1294,988
769,5497,1054,579,1259,1021
770,5497,1026,606,1226,1077
771,5497,993,623,1194,1141
772,5497,971,658,1172,1159
773,5105,948,669,1218,1290
774,5105,908,696,1209,1315
775,5105,896,731,1146,1357
776,5105,881,753,1083,1409
777,5105,880,789,1031,1421
778,5105,840,811,988,1468
779,5105,843,843,900,1503
780,5105,809,882,875,1505
781,5105,775,899,820,1549
783,5105,748,920,756,1585
783,5105,726,959,716,1583
785,5105,692,972,656,1622
786,5105,653,994,598,1648
787,5105,626,1025,559,1647
788,5105,590,1032,496,1682
788,5105,544,1058,475,1682
790,5105,562,1096,356,1680
791,5105,480,1086,335,1722
792,5105,428,1108,317,1719
793,5105,380,1119,261,1734
794,5497,353,1128,148,1638
795,5497,311,1138,122,1639
796,5497,256,1130,75,1660
797,5497,214,1126,14,1674
798,5497,167,1112,-6,1692
799,5105,132,1114,-58,1805
800,5105,98,1120,-131,1800
801,5105,51,1136,-156,1783
802,5105,12,1142,-224,1772
803,5105,-17,1149,-300,1756
804,5105,-55,1164,-334,1733
805,5105,-78,1168,-416,1713
806,5105,-118,1172,-447,1696
807,5105,-148,1180,-521,1665
809,5105,-181,1175,-593,1644
809,5105,-220,1178,-623,1621
810,5105,-253,1174,-693,1592
812,5105,-280,1167,-767,1563
812,5105,-317,1153,-796,1550
814,5105,-364,1144,-848,1517
815,5497,-390,1142,-881,1364
816,5497,-432,1123,-900,1350
817,5497,-460,1102,-962,1320
818,5497,-500,1062,-980,1323
819,5497,-537,1029,-1029,1300
820,5105,-561,1016,-1144,1350
821,5105,-589,984,-1174,1340
822,5105,-635,968,-1213,1290
823,5105,-663,959,-1267,1230
824,5105,-701,939,-1281,1202
825,5105,-738,914,-1322,1153
826,5105,-773,897,-1362,1094
827,5105,-806,870,-1377,1068
828,5105,-846,822,-1407,1034
829,5105,-871,810,-1426,991
830,5105,-909,775,-1453,941
831,5105,-924,751,-1499,876
832,5105,-957,734,-1506,834
833,5105,-976,689,-1543,788
834,5105,-1004,663,-1567,720
835,5104,-1026,640,-1578,680
836,5104,-1040,611,-1611,612
838,5104,-1072,564,-1622,561
838,5104,-1093,558,-1627,501
840,5104,-1116,508,-1641,450
840,5105,-1123,490,-1656,400
842,5105,-1128,464,-1682,323
843,5105,-1150,427,-1687,256
843,5105,-1156,403,-1697,210
845,5105,-1164,378,-1709,129
846,5497,-1175,347,-1605,25
847,5497,-1190,301,-1597,2
848,5497,-1185,257,-1610,-56
849,5497,-1168,228,-1632,-130
850,5497,-1101,227,-1700,-199
