AngMes,VelMes,i_a,i_b,u_a,u_b
210,2356,-337,1193,-561,1159
210,2748,-362,1190,-531,1044
211,2748,-386,1198,-534,1023
212,2748,-405,1178,-569,1019
212,2748,-416,1160,-586,1025
212,2748,-439,1145,-589,1027
213,2748,-457,1120,-624,1024
214,2748,-474,1122,-632,1008
214,2748,-492,1106,-641,1010
215,2748,-508,1089,-676,999
215,2748,-526,1062,-684,1010
216,2356,-542,1065,-744,1093
216,2356,-563,1060,-749,1083
217,2356,-588,1066,-777,1045
217,2356,-603,1056,-788,1039
218,2356,-645,1048,-771,1030
218,2748,-653,1048,-755,899
219,2748,-672,1045,-759,884
219,2748,-696,1031,-759,880
220,2748,-703,1004,-798,871
220,2748,-717,987,-807,868
221,2356,-718,979,-894,949
221,2356,-757,937,-902,951
222,2356,-772,949,-910,920
222,2356,-793,939,-912,909
223,2356,-810,939,-940,868
223,2748,-832,921,-867,779
224,2748,-857,906,-861,773
225,2748,-875,880,-884,756
225,2748,-870,868,-908,746
225,2748,-871,856,-926,736
226,2748,-895,821,-939,725
227,2748,-905,804,-947,720
227,2748,-916,786,-955,715
227,2748,-926,759,-962,719
228,2748,-932,753,-991,678
229,2356,-962,740,-1065,740
229,2356,-964,724,-1081,732
230,2356,-979,732,-1101,674
230,2356,-1005,702,-1093,679
230,2356,-1040,691,-1075,665
231,2748,-1038,704,-1018,535
232,2748,-1055,692,-1014,522
232,2748,-1053,658,-1030,530
233,2748,-1068,638,-1043,498
233,2748,-1061,629,-1063,482
234,2356,-1068,606,-1166,536
234,2356,-1080,581,-1182,506
235,2356,-1083,587,-1192,472
235,2356,-1114,567,-1175,465
236,2356,-1129,553,-1184,423
236,2748,-1144,551,-1080,347
237,2748,-1146,546,-1088,324
238,2748,-1149,532,-1105,283
238,2748,-1144,495,-1119,291
238,2748,-1142,482,-1130,276
239,2748,-1142,445,-1146,256
239,2748,-1137,441,-1159,232
240,2748,-1139,439,-1166,205
240,2748,-1133,424,-1179,192
241,2748,-1153,395,-1173,164
241,2356,-1153,374,-1288,187
242,2356,-1167,349,-1281,183
243,2356,-1174,349,-1287,123
243,2356,-1183,313,-1284,128
243,2356,-1201,309,-1272,102
244,2748,-1219,287,-1153,39
245,2748,-1230,288,-1145,9
245,2748,-1225,257,-1153,10
246,2748,-1205,240,-1178,-31
246,2748,-1204,207,-1181,-27
247,2356,-1208,184,-1291,-19
247,2356,-1196,165,-1307,-62
248,2356,-1212,144,-1292,-71
248,2356,-1221,117,-1285,-76
249,2356,-1232,104,-1274,-124
249,2748,-1246,81,-1147,-138
250,2748,-1253,62,-1139,-148
250,2748,-1235,51,-1154,-196
251,2748,-1226,19,-1160,-194
251,2748,-1216,-17,-1167,-186
252,2748,-1207,-31,-1169,-231
252,2748,-1212,-46,-1160,-245
253,2748,-1202,-75,-1166,-245
254,2748,-1198,-102,-1161,-277
254,2748,-1183,-108,-1171,-300
254,2356,-1180,-138,-1281,-311
255,2356,-1182,-158,-1268,-351
256,2356,-1185,-178,-1259,-361
256,2356,-1204,-205,-1234,-364
257,2356,-1204,-232,-1220,-397
257,2748,-1202,-242,-1104,-395
258,2748,-1201,-260,-1097,-405
258,2748,-1187,-291,-1102,-402
259,2748,-1183,-309,-1088,-439
259,2748,-1157,-320,-1104,-456
260,2356,-1156,-341,-1204,-493
260,2356,-1143,-366,-1196,-525
